FECHA ACTUALIZACIÓN DE LA INFORMACIÓN:;31/01/2026;
 PERIODICIDAD DE ACTUALIZACIÓN DE LA INFORMACIÓN:;MENSUAL;
 UNIDAD POSEEDORA DE LA INFORMACIÓN:;PROCURADURÍA GENERAL ;
 PERSONA RESPONSABLE DE LA UNIDAD POSEEDORA DE LA INFORMACIÓN:;RUBÉN IDROBO MUÑOZ;
 CORREO ELECTRÓNICO DE LA PERSONA RESPONSABLE DE LA UNIDAD POSEEDORA DE LA INFORMACIÓN:;procuraduria@unl.edu.ec;
 NÚMERO TELEFÓNICO DE LA PERSONA RESPONSABLE DE LA UNIDAD POSEEDORA DE LA INFORMACIÓN:;72547252 ext 161;
 Enlace para descargar el acuerdo o resolución de creación del comité de transparencia       ;https://drive.google.com/file/d/1k_ga4qZlaKM4a0V338rLLVecRwZESFjT/view?usp=share_link;
 Enlace para descargar el acuerdo o resolución para delegar el manejo de las solicitudes de acceso a la información pública en territorio       ;https://drive.google.com/file/d/1k_ga4qZlaKM4a0V338rLLVecRwZESFjT/view?usp=share_link;
 Enlace para la recepción de solicitudes de acceso a la información pública por vía electrónica       ;rector@unl.edu.ec ;
 Enlace para descargar el listado de responsables de atender las solicitudes de acceso a la información en las delegaciones provinciales;No aplica;
 LICENCIA;CC-BY-4.0;
 
