Nivel superior;Unidad;Nivel de los Procesos de la Estructura Orgánica Funcional
Órgano Colegiado Superior;Órgano Colegiado Superior;Dirección estratégica - Proceso gobernante
Rectorado;Rectorado;Dirección estratégica - Proceso gobernante
Rectorado;Vicerrectorado Académico;Gestión de productos y servicios - Proceso agregador de valor
Vicerrectorado Académico;Decanato de Facultad - UEDL;Gestión de las áreas del conocimiento Proceso agregador de valor
Vicerrectorado Académico;Coordinación de Docencia;Gestión de productos y servicios - Proceso agregador de valor
Vicerrectorado Académico;Dirección de Posgrado;Gestión de productos y servicios - Proceso agregador de valor
Vicerrectorado Académico;Dirección de Nivelación y Admisión;Gestión de productos y servicios - Proceso agregador de valor
Vicerrectorado Académico;Dirección de Biblioteca;Gestión de productos y servicios - Proceso agregador de valor
Vicerrectorado Académico;Dirección de Bienestar Universitario / Institucional;Gestión de productos y servicios - Proceso agregador de valor
Rectorado;Dirección de Investigación;Gestión de productos y servicios - Proceso agregador de valor
Rectorado;Coordinación de Vinculación con la Sociedad;Gestión de productos y servicios - Proceso agregador de valor
Rectorado;Dirección de Planificación y Desarrollo;Asesoría Técnica, legal, administrativa, financiera - Proceso habilitante de asesoría
Rectorado;Dirección de Comunicación e Imagen Institucional;Asesoría Técnica, legal, administrativa, financiera - Proceso habilitante de asesoría
Rectorado;Procuraduría General;Asesoría Técnica, legal, administrativa, financiera - Proceso habilitante de asesoría
Rectorado;Dirección de Auditoría Interna;Asesoría Técnica, legal, administrativa, financiera - Proceso habilitante de asesoría
Rectorado;Coordinación de Evaluación y Aseguramiento de la Calidad;Asesoría Técnica, legal, administrativa, financiera - Proceso habilitante de asesoría
Rectorado;Dirección de Relaciones de Cooperación;Asesoría Técnica, legal, administrativa, financiera - Proceso habilitante de asesoría
Rectorado;Coordinación General Administrativa Financiera;Apoyo en la gestión de productos y servicios - Proceso habilitante de apoyo
Coordinación General Administrativa Financiera;Secretaría General;Apoyo en la gestión de productos y servicios - Proceso habilitante de apoyo
Coordinación General Administrativa Financiera;Dirección financiera;Apoyo en la gestión de productos y servicios - Proceso habilitante de apoyo
Coordinación General Administrativa Financiera;Dirección de Talento Humano;Apoyo en la gestión de productos y servicios - Proceso habilitante de apoyo
Coordinación General Administrativa Financiera;Dirección de Desarrollo Físico;Apoyo en la gestión de productos y servicios - Proceso habilitante de apoyo
Coordinación General Administrativa Financiera;Dirección de Tecnologías de información;Apoyo en la gestión de productos y servicios - Proceso habilitante de apoyo
Coordinación General Administrativa Financiera;Dirección Administrativa;Apoyo en la gestión de productos y servicios - Proceso habilitante de apoyo
Coordinación General Administrativa Financiera;Dirección de Contratación Pública;Apoyo en la gestión de productos y servicios - Proceso habilitante de apoyo
Coordinación General Administrativa Financiera;Dirección Administrativa de Quintas Experimentales;Apoyo en la gestión de productos y servicios - Proceso habilitante de apoyo
