Cuenta;Categoría;Descripción;Asignado;Modificado;Codificado;Monto certificado;Comprometido;Devengado;Pagado;Saldo por comprometer;Saldo por devengar;Saldo por pagar;Porcentaje de ejecución
510000;EGRESOS EN PERSONAL;Salarios Unificados;1532036,16;20110,7;1552146,86;0;371881,16;371881,16;371881,16;1180265,7;1180265,7;0;23,96
510000;EGRESOS EN PERSONAL;Remuneracion Mensual Unificada de Docentes del Magisterio y Docentes e Investigadores Universitarios;13704453,36;58576,95;13763030,31;0;3344118,06;3344118,06;3344118,06;10418912,25;10418912,25;0;24,3
510000;EGRESOS EN PERSONAL;Compensacion por Transporte;23568;-1207;22361;0;5149,5;5149,5;5149,5;17211,5;17211,5;0;23,03
510000;EGRESOS EN PERSONAL;Aporte Patronal;3796544,7;-25032,34;3771512,36;0;938206,14;938206,14;937897,25;2833306,22;2833306,22;308,89;24,88
530000;BIENES Y SERVICIOS DE CONSUMO;Espectaculos Culturales y Sociales;60000;170835,11;230835,11;175000;0;0;0;230835,11;230835,11;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Pasajes al Exterior;187769,8;26652,1;214421,9;197435,72;5486,18;5486,18;3381,1;208935,72;208935,72;2105,08;2,56
530000;BIENES Y SERVICIOS DE CONSUMO;Mobiliarios (Instalacion Mantenimiento y Reparacion);1500;-1500;0;0;0;0;0;0;0;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Mantenimiento de Areas Verdes y Arreglo de Vias Internas;9398,11;-9398,11;0;0;0;0;0;0;0;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Servicio de Auditoria;34673,09;0;34673,09;34673,09;0;0;0;34673,09;34673,09;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Vestuario Lenceria Prendas de Proteccion Insumos y Accesorios para uniformes del personal de Proteccion Vigilancia y Seguridad;114695,75;-3091,76;111603,99;6394,5;20725;20725;20725;90878,99;90878,99;0;18,57
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales de Aseo;97605,03;-53990,36;43614,67;34776,48;0;0;0;43614,67;43614,67;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales de Impresion Fotografia Reproduccion y Publicaciones;30662,32;14905,49;45567,81;0;0;0;0;45567,81;45567,81;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Insumos Bienes y Materiales para Produccion de Programas de Radio Television Eventos Culturales Artisticos y Entretenimiento en General;12139;7100,39;19239,39;14456;0;0;0;19239,39;19239,39;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Almacenamiento Embalaje Desembalaje Envase Desenvase y Recarga de Extintores;0;12360;12360;1880;0;0;0;12360;12360;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Materiales de Oficina;0;942,2;942,2;194,6;0;0;0;942,2;942,2;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Materiales de Impresion Fotografia Reproduccion y Publicaciones;0;90;90;90;0;0;0;90;90;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Medicamentos;0;50,5;50,5;42,3;0;0;0;50,5;50,5;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Suministros para Actividades Agropecuarias Pesca y Caza;0;2626;2626;0;0;0;0;2626;2626;0;0
730000;BIENES Y SERVICIOS PARA INVERSION;Insumos Materiales Suministros y Bienes para Investigacion;0;162033,79;162033,79;59665,06;0;0;0;162033,79;162033,79;0;0
780000;TRANSFERENCIAS O DONACIONES PARA INVERSION;Transferencias o Donaciones al Sector Privado no Financiero;0;14000;14000;0;0;0;0;14000;14000;0;0
510000;EGRESOS EN PERSONAL;Decimo Tercer Sueldo;3160599,87;228524,36;3389124,23;0;331090,82;331090,82;330951,32;3058033,41;3058033,41;139,5;9,77
510000;EGRESOS EN PERSONAL;Encargos;26000;10061,34;36061,34;0;7533;7533;5022;28528,34;28528,34;2511;20,89
530000;BIENES Y SERVICIOS DE CONSUMO;Herramientas y Equipos Menores;4635,26;5638,83;10274,09;0;0;0;0;10274,09;10274,09;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Semovientes;4273,17;-4273,17;0;0;0;0;0;0;0;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Agua de Riego;4845;451,98;5296,98;455;4841,98;4841,98;4841,98;455;455;0;91,41
530000;BIENES Y SERVICIOS DE CONSUMO;Indumentaria Prendas de proteccion Accesorios y Otros;2500;500;3000;0;0;0;0;3000;3000;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Materiales Didacticos;557,7;-11,17;546,53;0;0;0;0;546,53;546,53;0;0
530000;BIENES Y SERVICIOS DE CONSUMO;Derivados de Hidrocarburos para la Comercializacion Interna;0;20;20;0;0;0;0;20;20;0;0
