TIPO;DESCRIPCIÓN DE REGULACIÓN;ENLACE A REGULACIÓN
Órden de Rectorado;ESPE-HCU-OR-2026-001  Poner en ejecución y publicar las resoluciones adoptadas en sesión ordinaria de 07 de enero de 2026.;https://hcu.espe.edu.ec/wp-content/uploads/2026/01/OR-2026-001.pdf
Resolución;ESPE-HCU-RES-2026-001 Aprobar el acta de la sesión ordinaria ESPE-HCU-ASO-2025-021, de 24 de septiembre de 2025.;https://hcu.espe.edu.ec/wp-content/uploads/2026/01/RES-2026-001.pdf
Resolución;ESPE-HCU-RES-2026-002 Conocer la matriz de seguimiento de las resoluciones de la sesión extraordinaria de 30 de septiembre de 2025.;https://hcu.espe.edu.ec/wp-content/uploads/2026/01/RES-2026-002.pdf
Resolución;"ESPE-HCU-RES-2026-003 Aprobar el proyecto de Programa de Maestría en Matemática Aplicada con menciones en: Simulación Numérica para Ingeniería; Modelamiento Matemático de Datos; y, Enseñanza Superior para Ingeniería.";https://hcu.espe.edu.ec/wp-content/uploads/2026/01/RES-2026-003.pdf
Resolución;ESPE-HCU-RES-2026-004 Declarar instaurado el proceso disciplinario en contra del Mgs. Patricio Marino Ponce Guerrero, Profesor Titular a tiempo completo del Departamento de Ciencias Humanas y Sociales.;https://hcu.espe.edu.ec/wp-content/uploads/2026/01/RES-2026-004.pdf
Órden de Rectorado;ESPE-HCU-OR-2026-002  Poner en ejecución y publicar las resoluciones adoptadas en sesión extraordinaria de 20 de enero de 2026.;https://hcu.espe.edu.ec/wp-content/uploads/2026/01/OR-2026-002.pdf
Resolución;ESPE-HCU-RES-2026-005 Conformar la Comisión Electoral para el proceso de elecciones de representantes de los distintos estamentos al H. Consejo Universitario, para el periodo 2026-2028, y designar a sus integrantes.;https://hcu.espe.edu.ec/wp-content/uploads/2026/01/RES-2026-005.pdf
Resolución;ESPE-HCU-RES-2026-006 .- Rechazar la recusación presentada por la Srta. Wendy Nicole Rosero Bolaños, estudiante de la carrera de Biotecnología de la Universidad de las Fuerzas Armadas – ESPE, Sede Matriz, en contra del Abg. Hugo Francisco Zambrano Vera, en su calidad de Instructor Disciplinario y Presidente de la Comisión de Investigación del procedimiento disciplinario Nro. ESPE-PD-2025-015 y acumulado, por cuanto no se ha acreditado la concurrencia de ninguna de las causales previstas en el artículo 86 del Código Orgánico Administrativo, en particular la relativa a conflicto de intereses.;https://hcu.espe.edu.ec/wp-content/uploads/2026/01/DE-ACUERDO-A-LA-LEY-DE-PROTECCION-DE-DATOS-LOPDP-ESTA-RESOLUCION-NO-SE-ENCUENTRA-DISPONIBLE-PARA-SU-DESCARGA-SI-LA-REQUIERE-SOLICITELA-AL-CORREO-hcu@espe.edu_.ec_.pdf
Órden de Rectorado;ESPE-HCU-OR-2026-003  Poner en ejecución y publicar las resoluciones adoptadas en sesión extraordinaria de 28 de enero de 2026.;https://hcu.espe.edu.ec/wp-content/uploads/2026/02/OR-2026-003.pdf
Resolución;ESPE-HCU-RES-2026-007 Autorizar la modificación temporal del régimen de dedicación de tiempo completo a tiempo parcial, de dieciocho (18) horas semanales, del Ing. Freddy Mauricio Tapia León, Ph.D., profesor titular de escalafón previo del Departamento de Ciencias de la Computación, Sede Matriz.;https://hcu.espe.edu.ec/wp-content/uploads/2026/02/RES-2026-007.pdf
